window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
210.0,120.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
215.0,125.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
220.0,130.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
225.0,135.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
230.0,140.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
235.0,145.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
240.0,150.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
245.0,155.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
250.0,160.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
255.0,165.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
260.0,170.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
265.0,175.0,550,-13.2569836924846,55.0,265.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
270.0,180.0,550,-12.2136811957078,55.0,270.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
275.0,185.0,550,-10.8526483384323,55.0,275.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
280.0,190.0,550,-9.32503578378124,55.0,280.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
285.0,195.0,550,-7.78459463875334,60.0,285.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
290.0,200.0,550,-7.14227170813965,45.0,190.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
295.0,205.0,550,-7.14227170813965,45.0,190.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
300.0,210.0,550,-7.14227170813965,45.0,190.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
305.0,215.0,550,-7.14227170813965,45.0,190.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
310.0,220.0,550,-7.14227170813965,45.0,190.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
315.0,225.0,550,-7.16572362751974,55.0,225.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
320.0,230.0,550,-8.17307170416156,50.0,230.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
325.0,235.0,550,-9.33891331988346,50.0,235.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
330.0,240.0,550,-10.5765872367662,50.0,240.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
335.0,245.0,550,-11.7629658689901,50.0,245.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
340.0,250.0,550,-12.7737515770676,55.0,250.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
345.0,255.0,550,-13.5662730199796,55.0,255.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
350.0,260.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
355.0,265.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
0.0,270.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
5.0,275.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
10.0,280.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
15.0,285.0,550,-13.2463929912378,50.0,255.0,5.17764890796096,45.0,15.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
20.0,290.0,550,-13.2463929912378,50.0,255.0,5.1067556780845,45.0,20.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
25.0,295.0,550,-13.2463929912378,50.0,255.0,4.93813009867893,45.0,25.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
30.0,300.0,550,-13.2463929912378,50.0,255.0,4.65352265515107,45.0,30.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
35.0,305.0,550,-13.2463929912378,50.0,255.0,4.24780485748461,45.0,35.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
