window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
15.0,285.0,160,-3.1857431228105,90.0,90.0,5.4855186712971,45.0,15.0,h5p0_l8p8_w9p6_feed1p10_wide,5
20.0,290.0,150,-3.1857431228105,90.0,90.0,5.43442948899281,45.0,20.0,h5p0_l8p8_w9p6_feed1p10_wide,5
25.0,295.0,140,-3.1857431228105,90.0,90.0,5.37000626335396,45.0,25.0,h5p0_l8p8_w9p6_feed1p10_wide,5
30.0,300.0,130,-3.1857431228105,90.0,90.0,5.293990335528,45.0,30.0,h5p0_l8p8_w9p6_feed1p10_wide,5
35.0,305.0,120,-3.1857431228105,90.0,90.0,5.20774216938254,45.0,35.0,h5p0_l8p8_w9p6_feed1p10_wide,5
40.0,310.0,110,-3.1857431228105,90.0,90.0,5.11169828021856,45.0,40.0,h5p0_l8p8_w9p6_feed1p10_wide,5
45.0,315.0,100,-3.1857431228105,90.0,90.0,5.00516306281095,45.0,45.0,h5p0_l8p8_w9p6_feed1p10_wide,5
50.0,320.0,90,-3.1857431228105,90.0,90.0,4.88651587269356,45.0,50.0,h5p0_l8p8_w9p6_feed1p10_wide,5
55.0,325.0,80,-3.1857431228105,90.0,90.0,4.75373652893599,45.0,55.0,h5p0_l8p8_w9p6_feed1p10_wide,5
60.0,330.0,70,-3.1857431228105,90.0,90.0,4.60500867160002,45.0,60.0,h5p0_l8p8_w9p6_feed1p10_wide,5
65.0,335.0,60,-3.1857431228105,90.0,90.0,4.43913349764394,45.0,65.0,h5p0_l8p8_w9p6_feed1p10_wide,5
