freq_ghz,phi_deg,baseline,linear_pol_deg,theta_deg,reference_pol_deg,raw_pdoa_deg,reference_pdoa_deg,pdoa_bias_vs_pol0_deg,pdoa_lut_correction_deg,corrected_pdoa_deg,corrected_bias_vs_pol0_deg,source_strategy,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,E1-E2,45.000000,110.000000,0.000000,30.941877,36.791462,-5.849585,-5.849585,36.791462,0.000000,calibrated_2x2_vector_correlation,-0.104773,-1.301153,True
7.738000,45.000000,E1-E2,45.000000,115.000000,0.000000,36.993898,35.484905,1.508993,1.508993,35.484905,0.000000,calibrated_2x2_vector_correlation,-0.767293,-1.636377,True
7.738000,45.000000,E1-E2,45.000000,120.000000,0.000000,41.410486,34.295600,7.114886,7.114886,34.295600,-0.000000,calibrated_2x2_vector_correlation,-1.574936,-2.072475,True
7.738000,45.000000,E1-E2,45.000000,125.000000,0.000000,43.778846,33.243789,10.535057,10.535057,33.243789,0.000000,calibrated_2x2_vector_correlation,-2.221938,-2.501228,True
7.738000,45.000000,E1-E2,45.000000,130.000000,0.000000,44.485031,32.322148,12.162883,12.162883,32.322148,0.000000,calibrated_2x2_vector_correlation,-2.690364,-2.877656,True
7.738000,45.000000,E1-E2,45.000000,135.000000,0.000000,44.016535,31.499499,12.517036,12.517036,31.499499,0.000000,calibrated_2x2_vector_correlation,-3.024351,-3.190742,True
7.738000,45.000000,E1-E2,45.000000,140.000000,0.000000,42.757053,30.732705,12.024348,12.024348,30.732705,0.000000,calibrated_2x2_vector_correlation,-3.264095,-3.443163,True
7.738000,45.000000,E1-E2,45.000000,145.000000,0.000000,40.995337,29.984563,11.010774,11.010774,29.984563,0.000000,calibrated_2x2_vector_correlation,-3.437514,-3.642655,True
7.738000,45.000000,E1-E2,45.000000,150.000000,0.000000,38.965214,29.240814,9.724400,9.724400,29.240814,0.000000,calibrated_2x2_vector_correlation,-3.563677,-3.799289,True
7.738000,45.000000,E1-E2,45.000000,155.000000,0.000000,36.867105,28.518405,8.348700,8.348700,28.518405,0.000000,calibrated_2x2_vector_correlation,-3.656618,-3.924911,True
7.738000,45.000000,E1-E2,45.000000,160.000000,0.000000,34.872276,27.863487,7.008789,7.008789,27.863487,0.000000,calibrated_2x2_vector_correlation,-3.727330,-4.033017,True
7.738000,45.000000,E1-E2,45.000000,165.000000,0.000000,33.121894,27.346405,5.775489,5.775489,27.346405,0.000000,calibrated_2x2_vector_correlation,-3.784085,-4.138127,True
7.738000,45.000000,E1-E2,45.000000,170.000000,0.000000,31.727252,27.062208,4.665044,4.665044,27.062208,0.000000,calibrated_2x2_vector_correlation,-3.831969,-4.253916,True
7.738000,45.000000,E1-E2,45.000000,175.000000,0.000000,30.768091,27.134595,3.633496,3.633496,27.134595,0.000000,calibrated_2x2_vector_correlation,-3.872544,-4.389599,True
7.738000,45.000000,E1-E2,45.000000,180.000000,0.000000,30.282970,27.703020,2.579950,2.579950,27.703020,0.000000,calibrated_2x2_vector_correlation,-3.904265,-4.545073,True
7.738000,45.000000,E1-E2,45.000000,185.000000,0.000000,30.254040,28.862170,1.391870,1.391870,28.862170,0.000000,calibrated_2x2_vector_correlation,-3.923797,-4.707449,True
7.738000,45.000000,E1-E2,45.000000,190.000000,0.000000,30.602608,30.555697,0.046911,0.046911,30.555697,0.000000,calibrated_2x2_vector_correlation,-3.927783,-4.853373,True
7.738000,45.000000,E1-E2,45.000000,195.000000,0.000000,31.212361,32.516456,-1.304095,-1.304095,32.516456,0.000000,calibrated_2x2_vector_correlation,-3.914265,-4.958681,True
7.738000,45.000000,E1-E2,45.000000,200.000000,0.000000,31.972797,34.368098,-2.395301,-2.395301,34.368098,0.000000,calibrated_2x2_vector_correlation,-3.883025,-5.009326,True
7.738000,45.000000,E1-E2,45.000000,205.000000,0.000000,32.812201,35.823320,-3.011119,-3.011119,35.823320,0.000000,calibrated_2x2_vector_correlation,-3.834788,-5.004808,True
7.738000,45.000000,E1-E2,45.000000,210.000000,0.000000,33.701129,36.780278,-3.079149,-3.079149,36.780278,0.000000,calibrated_2x2_vector_correlation,-3.769912,-4.953203,True
7.738000,45.000000,E1-E2,45.000000,215.000000,0.000000,34.637588,37.270880,-2.633292,-2.633292,37.270880,-0.000000,calibrated_2x2_vector_correlation,-3.687297,-4.864160,True
7.738000,45.000000,E1-E2,45.000000,220.000000,0.000000,35.635032,37.372389,-1.737357,-1.737357,37.372389,0.000000,calibrated_2x2_vector_correlation,-3.583689,-4.744727,True
7.738000,45.000000,E1-E2,45.000000,225.000000,0.000000,36.721020,37.160525,-0.439505,-0.439505,37.160525,0.000000,calibrated_2x2_vector_correlation,-3.453059,-4.598183,True
7.738000,45.000000,E1-E2,45.000000,230.000000,0.000000,37.940373,36.702237,1.238136,1.238136,36.702237,0.000000,calibrated_2x2_vector_correlation,-3.285666,-4.424140,True
7.738000,45.000000,E1-E2,45.000000,235.000000,0.000000,39.353041,36.061156,3.291885,3.291885,36.061156,0.000000,calibrated_2x2_vector_correlation,-3.066643,-4.218567,True
