freq_ghz,source,element,feed,theta_deg,phi_deg,etheta_re,etheta_im,ephi_re,ephi_im,gain_proxy_mag,linpol0_re,linpol0_im,linpol0_mag,linpol0_phase_deg,linpol45_re,linpol45_im,linpol45_mag,linpol45_phase_deg,linpol90_re,linpol90_im,linpol90_mag,linpol90_phase_deg,linpol135_re,linpol135_im,linpol135_mag,linpol135_phase_deg
7.985500,P4A,4,A,75.000000,20.000000,100.927192,-69.168927,-249.380210,-374.419679,466.209420,100.927192,-69.168927,122.354561,-34.424202,-104.972135,-313.664511,330.763624,-108.503525,-249.380210,-374.419679,449.867297,-123.665386,-247.704739,-215.844876,328.552353,-138.931768
7.985500,P4A,4,A,80.000000,20.000000,72.744727,-69.790823,-186.120348,-292.571561,361.111418,72.744727,-69.790823,100.809495,-43.812773,-80.168670,-256.228899,268.477679,-107.373811,-186.120348,-292.571561,346.754816,-122.462612,-183.045250,-157.529771,241.497810,-139.284528
7.985500,P4A,4,A,85.000000,20.000000,46.274031,-71.479348,-119.656302,-212.947137,258.678752,46.274031,-71.479348,85.150356,-57.081940,-51.889101,-201.119896,207.705781,-104.466873,-119.656302,-212.947137,244.262387,-119.331899,-117.330464,-100.032833,154.184971,-139.549972
7.985500,P4A,4,A,90.000000,20.000000,21.140158,-73.924186,-51.427200,-135.013478,163.661503,21.140158,-73.924186,76.887525,-74.041017,-21.416173,-147.741239,149.285385,-98.247992,-51.427200,-135.013478,144.476282,-110.852047,-51.312871,-43.196652,67.074299,-139.908362
7.985500,P4A,4,A,95.000000,20.000000,-3.026866,-76.712497,17.143238,-57.969677,97.715624,-3.026866,-76.712497,76.772189,-92.259563,9.981783,-95.234678,95.756357,-84.016534,17.143238,-57.969677,60.451419,-73.525593,14.262418,13.253175,19.469546,42.899394
7.985500,P4A,4,A,100.000000,20.000000,-26.544058,-79.374079,84.643927,19.195542,120.573192,-26.544058,-79.374079,83.694871,-108.490822,41.082811,-42.552651,59.148335,-46.006833,84.643927,19.195542,86.793221,12.777414,78.621778,69.699248,105.068402,41.557413
7.985500,P4A,4,A,105.000000,20.000000,-49.629416,-81.443381,149.659182,97.616560,202.541272,-49.629416,-81.443381,95.373494,-121.357011,70.731726,11.436165,71.650282,9.184311,149.659182,97.616560,178.680899,33.114765,140.918319,126.614499,189.444462,41.939557
7.985500,P4A,4,A,110.000000,20.000000,-72.353380,-82.547794,210.753147,178.421528,297.153631,-72.353380,-82.547794,109.768620,-131.234659,97.863414,67.792967,119.050973,34.711525,210.753147,178.421528,276.136072,40.250921,200.186545,184.533177,272.263009,42.670051
7.985500,P4A,4,A,115.000000,20.000000,-94.588022,-82.513300,266.479163,262.559596,394.593493,-94.588022,-82.513300,125.520271,-138.900375,121.545392,127.311957,176.015956,46.327430,266.479163,262.559596,374.097161,44.575512,255.313055,244.003385,353.160598,43.702455
7.985500,P4A,4,A,120.000000,20.000000,-115.958701,-81.458782,315.434536,350.602273,492.445788,-115.958701,-81.458782,141.710809,-144.912688,141.050716,190.313188,236.884812,53.455988,315.434536,350.602273,471.615204,48.022496,305.041083,305.513302,431.727275,45.044314
