case,active_pol,freq_ghz,theta_deg,phi_deg,linear_pol_deg,baseline,left_source,right_source,left_mag,right_mag,pdoa_deg,left_mag_rel_db,right_mag_rel_db,valid,phase_error_vs_pol0_deg,reference_phase_slope_deg_per_az_deg,azimuth_error_equiv_deg,pdoa_unwrapped_deg
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,35.000000,45.000000,E1-E3,P1A,P3A,2269.320901,1259.350029,80.305500,-3.669289,-8.784278,True,114.019962,2.407500,47.360312,80.305500
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,40.000000,45.000000,E1-E3,P1A,P3A,2190.559544,1200.925869,90.496992,-3.976106,-9.196883,True,112.291793,2.367038,47.439798,90.496992
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,45.000000,45.000000,E1-E3,P1A,P3A,2098.237572,1143.532036,99.301058,-4.350114,-9.622241,True,109.345143,2.335757,46.813576,99.301058
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,50.000000,45.000000,E1-E3,P1A,P3A,1996.325289,1085.097673,106.329677,-4.782581,-10.077831,True,104.766907,2.299029,45.570067,106.329677
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,55.000000,45.000000,E1-E3,P1A,P3A,1889.638299,1024.586878,111.213554,-5.259634,-10.576231,True,98.267349,2.227272,44.120045,111.213554
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,60.000000,45.000000,E1-E3,P1A,P3A,1783.468637,962.400103,113.615296,-5.761898,-11.120094,True,89.779804,2.080052,43.162293,113.615296
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,65.000000,45.000000,E1-E3,P1A,P3A,1683.001032,900.397927,113.243830,-6.265520,-11.698518,True,79.497106,1.826417,43.526274,113.243830
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,70.000000,45.000000,E1-E3,P1A,P3A,1592.802128,841.668467,109.872626,-6.743971,-12.284386,True,67.772968,1.466282,46.220979,109.872626
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,75.000000,45.000000,E1-E3,P1A,P3A,1516.569043,790.197373,103.367973,-7.169964,-12.832496,True,54.958434,1.029357,53.391031,103.367973
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,80.000000,45.000000,E1-E3,P1A,P3A,1457.150442,750.597853,93.737772,-7.517119,-13.279061,True,41.344544,0.551890,74.914431,93.737772
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,85.000000,45.000000,E1-E3,P1A,P3A,1416.721335,727.930533,81.207699,-7.761519,-13.545409,True,27.279258,0.055229,nan,81.207699
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,90.000000,45.000000,E1-E3,P1A,P3A,1396.952966,727.427031,66.303344,-7.883572,-13.551419,True,13.357826,-0.457529,nan,66.303344
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,95.000000,45.000000,E1-E3,P1A,P3A,1399.063014,753.851688,49.861604,-7.870462,-13.241489,True,0.508453,-0.988328,-0.514457,49.861604
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,100.000000,45.000000,E1-E3,P1A,P3A,1423.713964,810.533564,32.882587,-7.718752,-12.611787,True,-10.179648,-1.521223,6.691754,32.882587
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,105.000000,45.000000,E1-E3,P1A,P3A,1470.794738,898.534910,16.256242,-7.436166,-11.716508,True,-17.884681,-2.001877,8.933957,16.256242
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,110.000000,45.000000,E1-E3,P1A,P3A,1539.141793,1016.332651,0.541715,-7.041635,-10.646490,True,-22.501752,-2.347960,9.583534,0.541715
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,115.000000,45.000000,E1-E3,P1A,P3A,1626.248077,1159.851594,-14.076263,-6.563471,-9.499159,True,-24.737588,-2.507220,9.866542,-14.076263
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,120.000000,45.000000,E1-E3,P1A,P3A,1728.016510,1322.524053,-27.694969,-6.036250,-8.359136,True,-25.666239,-2.509800,10.226408,-27.694969
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,125.000000,45.000000,E1-E3,P1A,P3A,1838.648997,1495.398384,-40.565861,-5.497231,-7.292069,True,-26.129185,-2.444410,10.689364,-40.565861
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,130.000000,45.000000,E1-E3,P1A,P3A,1950.774476,1667.641959,-52.991034,-4.983066,-6.345151,True,-26.518208,-2.389153,11.099416,-52.991034
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,135.000000,45.000000,E1-E3,P1A,P3A,2055.877934,1827.783450,-65.258942,-4.527261,-5.548712,True,-26.930732,-2.375607,11.336359,-65.258942
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,140.000000,45.000000,E1-E3,P1A,P3A,2145.041915,1965.740129,-77.613393,-4.158492,-4.916685,True,-27.384498,-2.397788,11.420736,-77.613393
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,145.000000,45.000000,E1-E3,P1A,P3A,2209.995118,2075.185897,-90.240727,-3.899381,-4.446067,True,-27.934641,-2.433193,11.480654,-90.240727
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,150.000000,45.000000,E1-E3,P1A,P3A,2244.398295,2155.316512,-103.257078,-3.765209,-4.116986,True,-28.696258,-2.456274,11.682843,-103.257078
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,155.000000,45.000000,E1-E3,P1A,P3A,2245.075339,2210.894014,-116.685098,-3.762589,-3.895849,True,-29.816277,-2.443876,12.200406,-116.685098
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,160.000000,45.000000,E1-E3,P1A,P3A,2212.637966,2250.008663,-130.430797,-3.889000,-3.743523,True,-31.431219,-2.379436,13.209525,-130.430797
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,165.000000,45.000000,E1-E3,P1A,P3A,2151.024670,2280.354662,-144.292740,-4.134299,-3.627159,True,-33.629559,-2.260424,14.877543,-144.292740
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,170.000000,45.000000,E1-E3,P1A,P3A,2066.069881,2306.133558,-158.026195,-4.484307,-3.529518,True,-36.422375,-2.104962,17.303103,-158.026195
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,175.000000,45.000000,E1-E3,P1A,P3A,1963.940907,2327.480394,-171.434767,-4.924639,-3.449487,True,-39.721967,-1.948913,20.381606,-171.434767
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,180.000000,45.000000,E1-E3,P1A,P3A,1850.396907,2342.267606,175.577297,-5.441909,-3.394477,True,-43.329757,-1.831881,23.653155,-184.422703
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,185.000000,45.000000,E1-E3,P1A,P3A,1731.074279,2348.315427,163.033255,-6.020893,-3.372079,True,-46.935139,-1.781260,26.349403,-196.966745
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,190.000000,45.000000,E1-E3,P1A,P3A,1612.006894,2344.377854,150.967860,-6.639869,-3.386655,True,-50.126593,-1.804478,27.779006,-209.032140
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,195.000000,45.000000,E1-E3,P1A,P3A,1499.332915,2329.998510,139.501679,-7.269246,-3.440094,True,-52.421939,-1.890699,27.726220,-220.498321
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,200.000000,45.000000,E1-E3,P1A,P3A,1397.991461,2305.233646,128.849533,-7.877117,-3.532908,True,-53.337929,-2.015810,26.459802,-231.150467
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,205.000000,45.000000,E1-E3,P1A,P3A,1310.334371,2270.621797,119.253931,-8.439565,-3.664311,True,-52.511589,-2.146463,24.464242,-240.746069
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,210.000000,45.000000,E1-E3,P1A,P3A,1235.704428,2226.925873,110.892549,-8.948915,-3.833092,True,-49.830284,-2.245820,22.188015,-249.107451
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,215.000000,45.000000,E1-E3,P1A,P3A,1171.180976,2174.350021,103.830365,-9.414727,-4.040618,True,-45.476957,-2.284463,19.907070,-256.169635
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,220.000000,45.000000,E1-E3,P1A,P3A,1113.040238,2111.804982,98.040937,-9.856990,-4.294131,True,-39.837270,-2.252499,17.685810,-261.959063
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,225.000000,45.000000,E1-E3,P1A,P3A,1058.366565,2037.078426,93.457499,-10.294485,-4.607052,True,-33.324832,-2.163137,15.405785,-266.542501
