case,active_pol,freq_ghz,theta_deg,linear_pol_deg,baseline,valid_count,total_count,valid_percent,pdoa_span_unwrapped_deg,phase_error_rms_deg,phase_error_mean_abs_deg,phase_error_p95_abs_deg,phase_error_max_abs_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,E1-E2,73,73,100.000000,356.920652,79.154599,62.826372,156.148714,179.559542,65.023604,104.916148,104.916148,6
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,135.000000,E1-E2,73,73,100.000000,101.596792,22.777461,17.791479,54.212012,56.972299,25.536755,41.863528,41.863528,6
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,E2-E3,73,73,100.000000,341.048271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,E2-E3,73,73,100.000000,649.093648,79.192056,72.568100,131.426013,157.932218,53.729899,95.198466,167.713665,67
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,E2-E3,73,73,100.000000,577.867755,128.192299,119.507657,172.189671,179.632447,75.740276,120.847158,162.665657,67
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,135.000000,E2-E3,73,73,100.000000,388.693704,69.157092,62.055123,121.948690,125.201948,41.422410,73.388323,87.967028,67
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,E3-E4,73,73,100.000000,74.504328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,E3-E4,73,73,100.000000,127.386325,45.037651,38.309890,88.399465,95.738539,65.182509,163.980520,186.771717,37
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,E3-E4,72,73,98.630137,117.186595,66.273641,60.428976,101.584287,122.112131,80.737909,159.860441,242.059469,36
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,135.000000,E3-E4,73,73,100.000000,94.825569,49.263120,43.265850,76.143435,82.532025,62.152158,135.469244,137.481828,37
