case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,linear_pol_deg,channel_set,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,mean_abs_slope_deg_per_deg,slope_std_deg_per_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,135.000000,A_feed_only,E1-E3,100.000000,239.779118,178.168388,178.168388,1.342530,2.364988,70.833333,-22.361926,48.124458,36.032830,167.601359,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,0.000000,A_feed_only,E2-E4,100.000000,514.078162,84.239494,84.239494,2.855990,3.470380,63.888889,-20.100246,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,45.000000,A_feed_only,E2-E4,100.000000,720.000000,61.910299,781.910299,2.670524,2.183181,86.111111,-23.537977,67.802245,50.050317,176.373346,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,90.000000,A_feed_only,E2-E4,100.000000,393.550598,30.054991,390.054991,2.363154,2.526743,58.333333,-23.676149,70.779120,59.215888,174.599878,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,135.000000,A_feed_only,E2-E4,100.000000,416.119868,23.160988,23.160988,2.311777,2.579322,56.944444,-15.006163,58.074117,44.664557,166.038100,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,0.000000,A_feed_only,E1-E2,100.000000,546.593683,-7.911705,352.088295,2.036632,2.940326,51.388889,-21.377251,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,45.000000,A_feed_only,E1-E2,100.000000,205.212769,-0.828872,-0.828872,1.409904,2.338751,68.055556,-30.866190,50.992080,30.236941,173.564349,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,90.000000,A_feed_only,E1-E2,100.000000,407.627957,3.650000,-356.350000,1.651102,2.544812,66.666667,-24.529362,72.124662,53.833282,173.577248,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,135.000000,A_feed_only,E1-E2,100.000000,165.287837,-6.162482,-6.162482,1.446580,1.961411,51.388889,-22.361926,40.050452,25.546699,178.521129,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,0.000000,A_feed_only,E2-E3,100.000000,430.225577,-135.992483,-135.992483,2.390142,3.014521,63.888889,-18.831647,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,45.000000,A_feed_only,E2-E3,98.630137,286.440877,-114.843937,-114.843937,1.670439,2.396714,60.563380,-36.699839,69.300455,55.636751,171.347076,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,90.000000,A_feed_only,E2-E3,100.000000,418.139615,-142.845804,217.154196,2.036952,2.426230,56.944444,-24.345920,86.909775,68.524641,178.191696,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,135.000000,A_feed_only,E2-E3,100.000000,375.222942,-175.669130,-175.669130,2.084572,2.306671,61.111111,-14.136381,33.889235,27.123175,65.480440,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,0.000000,A_feed_only,E3-E4,100.000000,173.629048,-139.768024,-139.768024,1.290896,2.122920,62.500000,-20.100246,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,45.000000,A_feed_only,E3-E4,98.630137,720.000000,176.754236,896.754236,2.314787,2.701760,85.915493,-37.728126,95.875314,78.605022,178.598756,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,90.000000,A_feed_only,E3-E4,100.000000,139.289354,172.900795,172.900795,0.907521,1.131681,59.722222,-15.686133,80.482635,72.947296,153.526625,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,135.000000,A_feed_only,E3-E4,100.000000,109.298872,-161.169882,-161.169882,0.843374,1.029801,55.555556,-13.843110,50.424728,41.965081,126.419490,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,0.000000,A_feed_only,E4-E1,100.000000,360.000000,-76.327789,-436.327789,1.553245,1.899823,79.166667,-21.377251,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,45.000000,A_feed_only,E4-E1,100.000000,720.000000,-61.081426,-781.081426,2.697410,2.962088,84.722222,-32.394075,76.256477,53.652070,178.068018,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,90.000000,A_feed_only,E4-E1,100.000000,328.319378,-33.704991,-33.704991,1.823997,2.156031,51.388889,-26.623717,93.314371,76.208654,177.283177,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,135.000000,A_feed_only,E4-E1,100.000000,265.151155,-16.998506,-16.998506,1.473062,2.230529,55.555556,-23.122942,68.033364,56.107588,163.438157,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,0.000000,A_feed_only,E1-E3,100.000000,183.606522,-120.825952,-120.825952,1.424322,4.177763,52.777778,-30.239808,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,45.000000,A_feed_only,E1-E3,100.000000,433.743914,-120.555770,239.444230,1.669493,3.237960,58.333333,-32.568649,67.257546,49.541000,169.515126,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,90.000000,A_feed_only,E1-E3,100.000000,88.428092,-153.068992,-153.068992,0.493047,0.640117,51.388889,-19.888419,77.406202,58.348198,164.035771,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,135.000000,A_feed_only,E1-E3,100.000000,150.012377,172.642596,172.642596,1.182636,1.590351,56.944444,-15.974698,59.562871,50.013021,159.240088,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,0.000000,A_feed_only,E2-E4,100.000000,514.403341,78.721344,78.721344,2.857796,4.331364,63.888889,-33.894657,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,45.000000,A_feed_only,E2-E4,97.260274,398.845283,51.961369,411.961369,2.878605,3.198367,72.857143,-38.948432,68.283691,50.035490,176.898165,71,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,90.000000,A_feed_only,E2-E4,100.000000,388.864083,19.755483,379.755483,2.169535,3.049141,54.166667,-33.453717,69.378558,61.414894,143.342458,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,135.000000,A_feed_only,E2-E4,100.000000,360.000000,62.015092,422.015092,2.174609,2.445410,70.833333,-30.179810,39.937794,31.362179,160.580472,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,0.000000,A_feed_only,E1-E2,100.000000,605.042800,-5.903346,354.096654,2.361349,3.482463,51.388889,-26.289375,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,45.000000,A_feed_only,E1-E2,97.260274,646.871546,1.591871,361.591871,2.328045,3.195319,54.285714,-36.854486,38.993974,23.373927,173.594446,71,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,90.000000,A_feed_only,E1-E2,100.000000,404.620006,1.787366,-358.212634,1.715215,3.117081,56.944444,-32.394173,63.694564,45.951664,165.498444,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,135.000000,A_feed_only,E1-E2,100.000000,204.943337,-8.618640,-8.618640,1.275557,1.509256,51.388889,-15.974698,42.747439,24.195502,168.773675,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,0.000000,A_feed_only,E2-E3,100.000000,599.992920,-114.922606,-474.922606,2.333294,4.222542,52.777778,-29.227360,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,45.000000,A_feed_only,E2-E3,97.260274,527.216412,-122.147641,-122.147641,2.697460,3.219595,64.285714,-38.471653,57.845213,42.599260,174.854830,71,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,90.000000,A_feed_only,E2-E3,98.630137,400.784849,-154.856358,205.143642,1.588564,2.311807,59.154930,-35.217659,72.338144,52.199464,177.605607,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,135.000000,A_feed_only,E2-E3,100.000000,308.494226,-178.738764,-178.738764,1.713857,1.973918,58.333333,-13.030856,47.054585,39.192472,137.206480,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,0.000000,A_feed_only,E3-E4,100.000000,382.863482,-166.356050,193.643950,1.983348,5.020932,86.111111,-33.894657,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,45.000000,A_feed_only,E3-E4,100.000000,412.639195,174.109011,174.109011,2.294785,3.384742,63.888889,-33.045429,77.090851,61.381873,176.538509,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,90.000000,A_feed_only,E3-E4,100.000000,120.887020,174.611841,174.611841,0.885334,1.084704,59.722222,-17.928098,83.952824,70.349568,178.894531,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,135.000000,A_feed_only,E3-E4,100.000000,360.000000,-119.246144,240.753856,1.322858,1.975315,76.388889,-30.179810,52.832240,43.902930,177.411199,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,0.000000,A_feed_only,E4-E1,100.000000,378.756475,-72.817998,-432.817998,1.883307,3.596781,88.888889,-33.894657,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,45.000000,A_feed_only,E4-E1,100.000000,360.000000,-53.553240,-413.553240,2.161485,2.638320,79.166667,-31.534866,66.424153,47.312155,178.028840,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,90.000000,A_feed_only,E4-E1,100.000000,179.297705,-21.542850,-21.542850,1.124234,1.412836,54.166667,-18.124476,91.152050,78.488413,178.651636,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,90.000000,135.000000,A_feed_only,E4-E1,100.000000,360.000000,-53.396452,-413.396452,1.619912,2.175673,80.555556,-30.179810,60.613472,41.001685,179.410839,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,0.000000,A_feed_only,E1-E3,100.000000,370.938929,159.444042,519.444042,2.357590,3.247180,72.222222,-26.441385,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,45.000000,A_feed_only,E1-E3,100.000000,580.754860,-160.153509,-520.153509,2.262693,3.799434,61.111111,-29.793440,62.977515,51.657858,173.342379,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,90.000000,A_feed_only,E1-E3,100.000000,661.706605,-144.241766,-504.241766,2.676148,3.023128,56.944444,-22.970486,84.048671,69.756359,172.224474,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,135.000000,A_feed_only,E1-E3,100.000000,555.014310,-158.502900,-158.502900,3.106515,5.460891,54.166667,-34.733655,96.394546,81.814862,163.045786,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,0.000000,A_feed_only,E2-E4,100.000000,360.000000,37.387430,397.387430,1.541727,1.552066,73.611111,-20.092970,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,45.000000,A_feed_only,E2-E4,98.630137,240.835182,54.367568,54.367568,1.953693,3.180849,50.704225,-42.752477,93.719944,73.307030,178.571718,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,90.000000,A_feed_only,E2-E4,100.000000,626.419516,46.327684,-313.672316,2.842680,3.545570,58.333333,-29.537213,83.427824,59.638839,178.204709,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,135.000000,A_feed_only,E2-E4,100.000000,615.926986,24.423468,-335.576532,2.623188,3.047042,58.333333,-24.000098,68.935878,50.070420,177.510916,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.985500,45.000000,0.000000,A_feed_only,E1-E2,100.000000,95.948049,-21.083134,-21.083134,0.783660,1.620304,73.611111,-26.920649,0.000000,0.000000,0.000000,73,73
